*** This text file contains every unique word found within the old query
*** file. Each word is preceeded by a number, which represents the index
*** that when passed into the Dictionary.get() method, returns the
*** corresponding String. For fun, at the bottom of this file, there is a
*** giant block of text which shows how all of the words are stored as a
*** singular string within the Dictionary class. Happy reading!

0      |     2002218 | 2      | 2d
1      |     3010345 | 1      | 2nd
2      |     4006386 | 1      | 2sat
3      |     3003886 | 150    | 2x2
4      |     5003947 | 29     | 2x2x2
5      |     5018628 | 1      | 2x3x3
6      |     2011303 | 6      | 3d
7      |     4001426 | 16     | 3des
8      |     3001890 | 38     | 3rd
9      |     3002137 | 253    | 3x3
10     |     5004272 | 16     | 3x3x3
11     |     3003136 | 42     | 4th
12     |     3000421 | 117    | 4x4
13     |     5003564 | 19     | 4x4x4
14     |     3013933 | 3      | 5th
15     |     3000172 | 72     | 5x5
16     |     5003020 | 8      | 5x5x5
17     |     3008402 | 29     | 7th
18     |     3005203 | 5      | 7x7
19     |     4000424 | 47     | aace
20     |     4010605 | 1      | aade
21     |     4001162 | 31     | aafp
22     |     5003778 | 5      | aagbi
23     |     3012773 | 10     | aap
24     |     9012208 | 8      | abdominal
25     |     8000245 | 40     | abnormal
26     |     3016714 | 1      | acc
27     |    10009068 | 6      | acceptance
28     |     3006233 | 9      | ace
29     |     8014808 | 1      | ackerman
30     |     3016543 | 5      | acl
31     |     4000352 | 2647   | acls
32     |    15000428 | 1303   | acls_algorithms
33     |    14000698 | 8      | aclsalgorithms
34     |     4003670 | 9      | acne
35     |     3009408 | 4      | aco
36     |     4003310 | 63     | acog
37     |     8016278 | 1      | acronyms
38     |     3003583 | 30     | acs
39     |     6015137 | 1      | action
40     |     6012254 | 4      | active
41     |    10007201 | 7      | activities
42     |     8011818 | 2      | activity
43     |     4016318 | 1      | acts
44     |     5003242 | 13     | acute
45     |     2005169 | 10     | ad
46     |     3005570 | 29     | ada
47     |     8007931 | 16     | adaptive
48     |     3018512 | 1      | add
49     |     6002689 | 15     | adding
50     |     7004146 | 6      | addison
51     |     8002395 | 142    | addition
52     |     5008666 | 12     | adult
53     |     8005005 | 37     | advanced
54     |    10015038 | 5      | advantages
55     |     7013211 | 1      | adwords
56     |     3003704 | 69     | aes
57     |     4005770 | 81     | afib
58     |     3014253 | 12     | age
59     |    13005436 | 1      | agglomerative
60     |     3000984 | 190    | aha
61     |     4014344 | 4      | ahrs
62     |     2000082 | 65     | ai
63     |     5014115 | 1      | aided
64     |     6002283 | 70     | airway
65     |     4010001 | 9      | alan
66     |     7013481 | 4      | alcohol
67     |     5012881 | 4      | alert
68     |     7001845 | 17     | algebra
69     |     9011197 | 6      | algebraic
70     |     9000008 | 34194  | algorithm
71     |    11008452 | 33     | algorithm2e
72     |    13009174 | 5      | algorithmatic
73     |    10001815 | 131    | algorithme
74     |    11017088 | 1      | algorithmed
75     |    11005865 | 6      | algorithmen
76     |    11000319 | 1      | algorithmes
77     |    10013263 | 1      | algorithmi
78     |    11002107 | 97     | algorithmia
79     |    11000084 | 832    | algorithmic
80     |    12006877 | 10     | algorithmica
81     |    15002523 | 28     | algorithmically
82     |    12000814 | 65     | algorithmics
83     |    18015470 | 8      | algorithmictrading
84     |    12010157 | 4      | algorithmicx
85     |    11014068 | 1      | algorithmie
86     |    13008713 | 7      | algorithmique
87     |    12013273 | 8      | algorithmist
88     |    11007735 | 6      | algorithmix
89     |    10000024 | 12793  | algorithms
90     |    11011445 | 12     | algorithmus
91     |     8014170 | 2      | aliasing
92     |     9009149 | 19     | alignment
93     |     9016391 | 4      | alkalosis
94     |     3000811 | 49     | all
95     |     8004834 | 2      | allergic
96     |    10005333 | 7      | allocation
97     |     5006695 | 18     | alpha
98     |     3007844 | 16     | als
99     |     9018074 | 1      | alternate
100    |    11012277 | 11     | alternative
101    |     6003455 | 41     | amazon
102    |     8015868 | 2      | american
103    |     3016294 | 1      | ami
104    |     8017754 | 1      | amicable
105    |     3002686 | 5      | aml
106    |    12005186 | 5      | amortization
107    |     9014699 | 1      | amortized
108    |     2018018 | 1      | an
109    |     7011059 | 4      | anagram
110    |     8002598 | 191    | analysis
111    |     7018658 | 1      | analyst
112    |     9008102 | 8      | analytics
113    |     9006055 | 5      | analyzing
114    |    12010626 | 2      | anaphylactic
115    |    11003783 | 11     | anaphylaxis
116    |     8010222 | 1      | ancestor
117    |     6001246 | 129    | anemia
118    |     7017510 | 1      | anemias
119    |     6012427 | 10     | angina
120    |     8008063 | 1      | animated
121    |     9005702 | 21     | animation
122    |    10008156 | 7      | animations
123    |    10007634 | 8      | anisocoria
124    |     9009697 | 9      | annealing
125    |     7011697 | 1      | anomaly
126    |     7009040 | 5      | another
127    |     7002875 | 34     | answers
128    |     3007992 | 8      | ant
129    |     4014166 | 2      | anti
130    |    15010829 | 5      | anticoagulation
131    |    16007320 | 5      | antihypertensive
132    |     7015233 | 1      | antonym
133    |     4017301 | 1      | ants
134    |     2004896 | 1      | ao
135    |     3013399 | 1      | api
136    |     3000829 | 14     | app
137    |    11004704 | 10     | application
138    |    12007811 | 14     | applications
139    |     7018796 | 1      | applied
140    |     5018980 | 1      | apply
141    |     8018406 | 1      | applying
142    |     8005897 | 9      | approach
143    |    10015332 | 1      | approaches
144    |     8011639 | 6      | approved
145    |    13013192 | 14     | approximation
146    |    14017488 | 1      | approximations
147    |     7000560 | 103    | apriori
148    |     4010530 | 3      | aprs
149    |     4016923 | 2      | aprv
150    |     6011022 | 1      | arabic
151    |    12018020 | 1      | architecture
152    |     4016352 | 4      | ards
153    |     7009553 | 5      | ardsnet
154    |     3000587 | 109    | are
155    |     4014872 | 1      | area
156    |     5006441 | 2      | aries
157    |    10012836 | 2      | arithmetic
158    |     5016001 | 2      | armed
159    |     9011917 | 5      | armstrong
160    |     4013322 | 1      | army
161    |     7016020 | 1      | arnoldi
162    |     5000574 | 28     | array
163    |     6013218 | 6      | arrays
164    |     6002652 | 155    | arrest
165    |    10008495 | 2      | arrhythmia
166    |     3008307 | 6      | art
167    |     9007211 | 2      | arthritis
168    |     8016780 | 1      | articles
169    |    10011775 | 1      | artificial
170    |     2004789 | 16     | as
171    |     3006214 | 7      | asa
172    |     5000907 | 297    | asccp
173    |     5015643 | 1      | ascii
174    |     4016734 | 1      | ascp
175    |     5002420 | 28     | ascus
176    |     8018750 | 1      | assembly
177    |    10006412 | 10     | assessment
178    |    10003861 | 13     | assignment
179    |    11014242 | 1      | assignments
180    |    11008635 | 2      | association
181    |     6001192 | 120    | asthma
182    |    12005491 | 10     | astronomical
183    |    10005048 | 11     | asymmetric
184    |    12009811 | 1      | asymmetrical
185    |    19006422 | 1      | asymmetricalgorithm
186    |    10012441 | 2      | asymptotic
187    |     8000377 | 78     | asystole
188    |     4006960 | 5      | atls
189    |     6006220 | 31     | atrial
190    |     6014109 | 1      | attack
191    |    10003694 | 8      | attributes
192    |    11001682 | 1      | attribution
193    |     7014430 | 1      | audible
194    |     5004870 | 14     | audio
195    |    14008922 | 10     | authentication
196    |     4003196 | 6      | auto
197    |     9015705 | 1      | autofocus
198    |     8011524 | 2      | automata
199    |     8013569 | 1      | automate
200    |     9016069 | 6      | automated
201    |     9016802 | 1      | automatic
202    |    10016966 | 1      | automation
203    |    10018083 | 1      | autonomous
204    |    14009455 | 1      | autoregressive
205    |     7012114 | 6      | average
206    |     3003220 | 12     | avl
207    |     9014283 | 2      | avoidance
208    |     1005465 | 27     | b
209    |     5002057 | 7      | baase
210    |     5011154 | 6      | babel
211    |    10002332 | 7      | babylonian
212    |     4004441 | 28     | back
213    |     7014292 | 16     | backoff
214    |    14014496 | 2      | backprojection
215    |     8015587 | 1      | backprop
216    |    15003542 | 61     | backpropagation
217    |     9013707 | 7      | backtrack
218    |    12002206 | 51     | backtracking
219    |     8010369 | 16     | backward
220    |     9009802 | 2      | backwards
221    |     8010952 | 3      | bacteria
222    |     5010971 | 6      | bagel
223    |     6015158 | 1      | bakery
224    |     8012260 | 6      | balanced
225    |     9009870 | 12     | balancing
226    |     6004120 | 18     | bandit
227    |     6000854 | 15     | banker
228    |     7002457 | 11     | bankers
229    |    10012546 | 1      | barbershop
230    |     7015143 | 1      | barcode
231    |     4003616 | 17     | base
232    |     6002672 | 18     | base64
233    |     5001963 | 15     | based
234    |     5016525 | 1      | bases
235    |     5004289 | 127    | basic
236    |     6005999 | 9      | basics
237    |     5011077 | 1      | basis
238    |     6001033 | 6      | basket
239    |     3003239 | 12     | bat
240    |     7011332 | 1      | battery
241    |    10007746 | 7      | battleship
242    |     4014206 | 11     | baum
243    |     5018668 | 1      | bayer
244    |     5003889 | 52     | bayes
245    |     8000871 | 43     | bayesian
246    |     3014912 | 7      | bbp
247    |     3018278 | 1      | bcd
248    |     3018424 | 1      | bch
249    |     4018226 | 1      | bcnf
250    |    27012688 | 9      | bcryptopenalgorithmprovider
251    |     4009668 | 1      | beam
252    |     4007611 | 3      | beat
253    |     6006083 | 6      | beauty
254    |     3013634 | 7      | bee
255    |     9002494 | 76     | beginners
256    |     9015534 | 6      | beginning
257    |     4010743 | 2      | bell
258    |     7005301 | 61     | bellman
259    |     8017979 | 1      | benefits
260    |     8014962 | 2      | berkeley
261    |     4000000 | 213    | best
262    |     4007098 | 14     | beta
263    |     7000165 | 26     | betting
264    |     6009850 | 1      | bezier
265    |     4003737 | 16     | bfgs
266    |     3004334 | 17     | bfs
267    |     3013805 | 4      | bgp
268    |     4005807 | 17     | bias
269    |     7016356 | 1      | bicubic
270    |     7008173 | 2      | bidding
271    |     3001101 | 83     | big
272    |     3001290 | 20     | bin
273    |     6000860 | 191    | binary
274    |     7001275 | 2      | binning
275    |     8018204 | 1      | binomial
276    |    14011704 | 11     | bioinformatics
277    |    10012776 | 5      | biological
278    |     9007453 | 3      | biometric
279    |    10017706 | 1      | biometrics
280    |     9014643 | 7      | bipartite
281    |     7001883 | 14     | bipolar
282    |     9010242 | 17     | bisection
283    |     3011051 | 1      | bit
284    |     7016896 | 1      | bitwise
